データセット,データの内容
aml,急性骨髄性白血病患者のデータ
bladder,膀胱がんの再発に関するデータ（85名分）
bladder1,膀胱がんの再発に関するデータ（118名分）
bladder2,膀胱がんの再発に関するデータ（左側打ち切りあり）
cancer,NCCTG（臨床研究グループ）の肺がん患者のデータ
capacitor,ガラスのコンデンサの寿命に関するデータ
cgd,慢性肉芽腫に対するγインターフェロンの効果に関するプラセボ対照研究
colon,結腸がんに対する化学療法に関するデータ
cracks,タービンに生じたクラックに関するデータ
diabetic,糖尿病網膜症のレーザー治療に関するデータ
flchain,血清免疫グロブリン遊離軽鎖と死亡率に関するデータ
gbsg,ドイツで実施された乳がん患者に関する調査のデータ
genfan,ディーゼルエンジンのファンに生じた故障のデータ
heart,スタンフォードで実施された心臓移植のデータ
hoel,オスマウスにガンが生じるまでの日数のデータ
ifluid,絶縁流体の電気的な破損に関するデータ
imotor,モーターの絶縁破壊と温度の関係に関するデータ
kidney,透析患者にカテーテルを挿入し、感染が起こるまでの時間
logan,職業カテゴリの移動に関するデータ
mgus,免疫グロブリン異常症患者のデータ
myeloid,急性骨髄性白血病のシミュレーションデータ
myeloma,多発性骨髄腫患者のデータ
nafld1,非アルコール性脂肪肝疾患（NAFLD）のデータ
nwtco,腫瘍の組織学的判定と生存率の関係のデータ
ovarian,卵巣ガンに対し2治療を行ったランダム化比較試験のデータ
pbc,原発性硬化性胆管炎に関するランダム化比較試験の結果
rats,ラットでの発がんを評価したデータ
rats2,ラットに発がん性物質を注射し、治療処理したデータ
rhDNase,嚢胞性線維症へのrhDNaseの効果を評価したデータ
rotterdam,ロッテルダム腫瘍バンクに登録されている原発性乳がん患者のデータ
solder,電子部品を基板につける際のはんだ付けの不良のデータ
survexp.us,1940～2012年のアメリカの年齢と性別のデータ
tobin,トービット・モデルの論文で用いられたデータ
transplant,肝移植を待つ患者のデータ
turbine,タービンのホイールに生じたクラックに関するデータ
udca,原発性胆汁性肝硬変に対するウルソデオキシコール酸投与試験のデータ
valveSeat,ディーゼルエンジンのバルブシートの交換時期に関するデータ
veteran,退官軍人の肺がんのデータ
